movieCd,movieNm,audiCnt
20196309,스파이더맨: 파 프롬 홈,4520761
20183867,알라딘,950875
20184047,토이 스토리 4,532868
20183782,기생충,197793
20196655,존 윅 3: 파라벨룸,177807
20199951,애나벨 집으로,107166
20198453,롱 리브 더 킹: 목포 영웅,52133
20190273,천로역정: 천국을 찾아서,28574
20182585,비스트,21669
20192591,BIFAN2019 판타스틱 단편 걸작선 1,15200
20183867,알라딘,1472102
20184047,토이 스토리 4,1135212
20196655,존 윅 3: 파라벨룸,602662
20183782,기생충,481549
20198453,롱 리브 더 킹: 목포 영웅,343593
20199951,애나벨 집으로,291158
20182585,비스트,173895
20190273,천로역정: 천국을 찾아서,53705
20192022,마담 싸이코,33309
20196657,맨 인 블랙: 인터내셔널,27263
20183867,알라딘,1473890
20184047,토이 스토리 4,1114897
20183782,기생충,750342
20198453,롱 리브 더 킹: 목포 영웅,664895
20196657,맨 인 블랙: 인터내셔널,178639
20196655,존 윅 3: 파라벨룸,71221
20190273,천로역정: 천국을 찾아서,68293
20190885,사탄의 인형,46546
20182387,엑스맨: 다크 피닉스,15909
20190466,세상을 바꾼 변호인,14274
20183867,알라딘,1426227
20183782,기생충,1323415
20196657,맨 인 블랙: 인터내셔널,637747
20182387,엑스맨: 다크 피닉스,107944
20190273,천로역정: 천국을 찾아서,65305
19880001,이웃집 토토로,41159
20191401,업사이드,26962
20198291,로켓맨,26252
20190466,세상을 바꾼 변호인,15396
20184889,어벤져스: 엔드게임,12483
20183782,기생충,3654492
20183867,알라딘,1749541
20182387,엑스맨: 다크 피닉스,737068
19880001,이웃집 토토로,99470
20198291,로켓맨,72050
20188941,악인전,65792
20184865,고질라: 킹 오브 몬스터,51710
20199063,빅샤크2: 해저2만리,42785
20184889,어벤져스: 엔드게임,31421
20188144,0.0MHz,26441
20183782,기생충,3366408
20183867,알라딘,1275982
20188941,악인전,518946
20184865,고질라: 킹 오브 몬스터,298012
20188144,0.0MHz,106602
20184889,어벤져스: 엔드게임,94893
20184082,걸캅스,80436
20199448,어린 의뢰인,43881
20198597,교회오빠,17463
20199822,더 보이,16901
