peopleCd,peopleNm,repRoleNm,movieNm
20239886,김지혜,감독,썬키스 패밀리
20316812,이창근,감독,로망
20306433,김진철,작화감독,극장판 헬로카봇 : 달나라를 구해줘!
10033522,애덤 로비텔,감독,이스케이프 룸
20327892,이한상,감독,인터뷰
10013583,딘 데블로이스,감독,드래곤 길들이기 3
10060063,장규성,감독,어린 의뢰인
10027082,미미 레더,감독,세상을 바꾼 변호인
20317199,아르나드 부롱,감독,숲속왕국의 꿀벌 여왕
10066410,로버트 페르난데스,감독,천로역정: 천국을 찾아서
20115431,야마모토 야스이치로,감독,명탐정 코난: 에피소드 원-작아진 명탐정
20196167,이정범,동시녹음팀,미션스쿨
10038689,존 왓츠,감독,스파이더맨: 파 프롬 홈
10003461,기예르모 델 토로,감독,퍼시픽 림: 업라이징
10064265,제임스 완,감독,아쿠아맨
20187477,엄유나,시나리오(각본),말모이
10061189,저스틴 밸도니,감독,파이브 피트
20151353,박누리,조감독,돈
10018860,루카 구아다니노,감독,서스페리아
10012399,덱스터 플레처,배우,로켓맨
10060462,장재현,감독,사바하
10022687,마이크 미첼,감독,레고 무비2
20284809,스도 토모노리,감독,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이
10023314,조시 쿨리,감독,토이 스토리 4
20159971,이종언,감독,생일
20314390,홍승완,감독,배심원들
10071639,채드 스타헬스키,배우,존 윅 3: 파라벨룸
20201768,김유성,편집,헤픈젤: 비밀의 몸캠
20131414,이원태,감독,악인전
10000970,강효진,감독,내안의 그놈
10000873,강지은,감독,크게 될 놈
10031641,봉준호,감독,기생충
10078519,클린트 이스트우드,감독,라스트 미션
10054185,육상효,감독,나의 특별한 형제
10087600,한스 페터 몰란트,감독,콜드 체이싱
10091258,F. 게리 그레이,감독,맨 인 블랙: 인터내셔널
10060348,프랭키 첸,감독,장난스런 키스
10091491,M. 나이트 샤말란,감독,글래스
20125862,이병헌,감독,극한직업
10053709,유선동,감독,0.0MHz
20321852,이민재,배우,살아남은 아이
10018162,게리 도버먼,감독,애나벨 집으로
20306533,최신규,감독,극장판 헬로카봇 : 달나라를 구해줘!
10009032,닐 버거,감독,업사이드
10043421,안소니 루소,감독,어벤져스: 엔드게임
20243469,미즈노 시게노리,감독,안도 타다오
10009025,닐 마샬,감독,헬보이
10041297,아담 맥케이,감독,바이스
10043278,데이빗 야로베스키,감독,더 보이
10028891,박신우,감독,트랩: 디렉터스 컷
10034380,사이먼 킨버그,,엑스맨: 다크 피닉스
20326692,정다원,배우,발광하는 현대사
10005276,김윤석,배우,미성년
20312876,앤소니 마라스,감독,호텔 뭄바이
10051453,라파엘 리바스,감독,리노
20189699,케빈 콜쉬,감독,공포의 묘지
20135271,강윤성,감독,롱 리브 더 킹: 목포 영웅
20121802,리치 무어,감독,주먹왕 랄프 2: 인터넷 속으로
20158665,박수진,VFX 아티스트,런닝맨 : 풀룰루의 역습
10086073,피터 패럴리,감독,그린 북
10000296,가이 리치,감독,알라딘
20196179,이정호,배우,독전
10022882,마이클 도허티,감독,고질라: 킹 오브 몬스터
10089218,호소다 마모루,감독,미래의 미라이
10052420,워시 웨스트모어랜드,감독,콜레트
10084180,막심 파디브,감독,정글북: 마법 원정대
10057737,이춘백,작화감독,언더독
10076064,캘리 애스버리,감독,어글리 돌
10016605,로버트 로드리게즈,감독,알리타: 배틀 엔젤
10086265,조던 필,감독,어스
10009058,닐 조단,감독,마담 싸이코
10013576,크리스찬 하스,감독,프렌즈: 둥지탈출
20321940,이수진,시나리오(각본),번 더 스테이지: 더 무비
10065698,요르고스 란티모스,감독,더 페이버릿: 여왕의 여자
10043130,안드레스 코투리어,감독,몬스터 파크
10085431,피에르 모렐,감독,아이 엠 마더
10008737,라스 클리브버그,감독,사탄의 인형
20325318,조민호,스토리보드,항거:유관순 이야기
20183664,한준희,감독,뺑반
10017730,로저 미첼,감독,위크엔드 인 파리
10073007,마이클 차베즈,감독,요로나의 저주
20318581,신상민,감독,1919 유관순
10031865,브라이언 싱어,감독,보헤미안 랩소디
20132877,김현호,제작팀,스윙키즈
10006823,나딘 라바키,감독,가버나움
10020816,린 사우더랜드,감독,신데렐라:마법 반지의 비밀
10077207,크리스 콜럼버스,감독,픽셀
20302929,김성기,감독,왓칭
10027387,미야자키 하야오,감독,바람이 분다
20322109,이호경,감독,교회오빠
10077478,크리스토퍼 랜던,감독,해피 데스데이 2 유
10081788,팀 버튼,감독,덤보
10042886,애너 보든,감독,캡틴 마블
10018169,롭 레터맨,감독,명탐정 피카츄
20235586,데이비드 F. 샌드버그,감독,샤잠!
10018173,롭 마샬,감독,메리 포핀스 리턴즈
