peopleCd,peopleNm,filmoNames
10038689,존 왓츠,스파이더맨: 파 프롬 홈|스파이더맨: 홈 커밍|캅카
10000296,가이 리치,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
10023314,조시 쿨리,토이 스토리 4
10031641,봉준호,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
10071639,채드 스타헬스키,존 윅 3: 파라벨룸|존 윅 - 리로드|존 윅: 특별판|존 윅|네미시스 2 
10018162,게리 도버먼,애나벨 집으로
20135271,강윤성,롱 리브 더 킹: 목포 영웅|범죄도시|영어완전정복
10066410,로버트 페르난데스,천로역정: 천국을 찾아서
20196179,이정호,독전|신 전래동화|그것만이 내 세상|강철비|남한산성|로마의 휴일|불한당: 나쁜 놈들의 세상|신의 한 수|찌라시: 위험한 소문
10000296,가이 리치,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
10023314,조시 쿨리,토이 스토리 4
10071639,채드 스타헬스키,존 윅 3: 파라벨룸|존 윅 - 리로드|존 윅: 특별판|존 윅|네미시스 2 
10031641,봉준호,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
20135271,강윤성,롱 리브 더 킹: 목포 영웅|범죄도시|영어완전정복
10018162,게리 도버먼,애나벨 집으로
20196179,이정호,독전|신 전래동화|그것만이 내 세상|강철비|남한산성|로마의 휴일|불한당: 나쁜 놈들의 세상|신의 한 수|찌라시: 위험한 소문
10066410,로버트 페르난데스,천로역정: 천국을 찾아서
10009058,닐 조단,마담 싸이코|온딘|브레이브 원|플루토에서 아침을|더블 다운|사랑의 슬픔 애수|인드림스|푸줏간 소년 |마이클 콜린스 |뱀파이어와의 인터뷰 |크라잉 게임|두번째 이별|모나리자
10091258,F. 게리 그레이,맨 인 블랙: 인터내셔널|분노의 질주: 더 익스트림|스트레이트 아웃 오브 컴턴|모범시민|쿨|빈 디젤의 디아블로|이탈리안 잡|네고시에이터|셋잇오프 
10000296,가이 리치,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
10023314,조시 쿨리,토이 스토리 4
10031641,봉준호,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
20135271,강윤성,롱 리브 더 킹: 목포 영웅|범죄도시|영어완전정복
10091258,F. 게리 그레이,맨 인 블랙: 인터내셔널|분노의 질주: 더 익스트림|스트레이트 아웃 오브 컴턴|모범시민|쿨|빈 디젤의 디아블로|이탈리안 잡|네고시에이터|셋잇오프 
10071639,채드 스타헬스키,존 윅 3: 파라벨룸|존 윅 - 리로드|존 윅: 특별판|존 윅|네미시스 2 
10066410,로버트 페르난데스,천로역정: 천국을 찾아서
10008737,라스 클리브버그,사탄의 인형|폴라로이드
10034380,사이먼 킨버그,엑스맨: 다크 피닉스|링컨: 뱀파이어 헌터
10027082,미미 레더,세상을 바꾼 변호인|코드|사라 실종 사건|아름다운 세상을 위하여|딥 임팩트|피스메이커
10000296,가이 리치,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
10031641,봉준호,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
10091258,F. 게리 그레이,맨 인 블랙: 인터내셔널|분노의 질주: 더 익스트림|스트레이트 아웃 오브 컴턴|모범시민|쿨|빈 디젤의 디아블로|이탈리안 잡|네고시에이터|셋잇오프 
10034380,사이먼 킨버그,엑스맨: 다크 피닉스|링컨: 뱀파이어 헌터
10066410,로버트 페르난데스,천로역정: 천국을 찾아서
10027387,미야자키 하야오,바람이 분다|벼랑 위의 포뇨|하울의 움직이는 성|붉은 돼지|센과 치히로의 행방불명|모노노케 히메|마녀배달부 키키|이웃집 토토로|천공의 성 라퓨타|바람계곡의 나우시카|루팡 3세: 칼리오스트로의 성|팬더와 친구들의 모험
10009032,닐 버거,업사이드|다이버전트|리미트리스|럭키 원스|일루셔니스트
10012399,덱스터 플레처,로켓맨|잇 로컬|독수리 에디|선샤인 온 리스|와일드 빌|스탠더|록 스탁 앤 2 스모킹 배럴즈|죽어도 좋아
10027082,미미 레더,세상을 바꾼 변호인|코드|사라 실종 사건|아름다운 세상을 위하여|딥 임팩트|피스메이커
10043421,안소니 루소,어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
10031641,봉준호,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
10000296,가이 리치,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
10034380,사이먼 킨버그,엑스맨: 다크 피닉스|링컨: 뱀파이어 헌터
