movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genreNm,peopleNm,companyNm
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,12세이상관람가,20190702,129,,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20183867,알라딘,Aladdin,,전체관람가,20190523,127,,가이 리치,월트디즈니컴퍼니코리아 유한책임회사
20184047,토이 스토리 4,Toy Story 4,,전체관람가,20190620,99,,조시 쿨리,월트디즈니컴퍼니코리아 유한책임회사
20183782,기생충,PARASITE,,15세이상관람가,20190530,131,,봉준호,(주)바른손이앤에이
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,청소년관람불가,20190626,131,,채드 스타헬스키,TCO(주)더콘텐츠온
20199951,애나벨 집으로,Annabelle Comes Home,,15세이상관람가,20190626,105,,게리 도버먼,워너브러더스 코리아(주)
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,15세이상관람가,20190619,117,,강윤성,영화사 필름몬스터
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,전체관람가,20190613,113,,로버트 페르난데스,(재)CBS
20182585,비스트,The Beast,,15세이상관람가,20190626,130,,이정호,(주)스튜디오앤뉴
20183867,알라딘,Aladdin,,전체관람가,20190523,127,,가이 리치,월트디즈니컴퍼니코리아 유한책임회사
20184047,토이 스토리 4,Toy Story 4,,전체관람가,20190620,99,,조시 쿨리,월트디즈니컴퍼니코리아 유한책임회사
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,청소년관람불가,20190626,131,,채드 스타헬스키,TCO(주)더콘텐츠온
20183782,기생충,PARASITE,,15세이상관람가,20190530,131,,봉준호,(주)바른손이앤에이
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,15세이상관람가,20190619,117,,강윤성,영화사 필름몬스터
20199951,애나벨 집으로,Annabelle Comes Home,,15세이상관람가,20190626,105,,게리 도버먼,워너브러더스 코리아(주)
20182585,비스트,The Beast,,15세이상관람가,20190626,130,,이정호,(주)스튜디오앤뉴
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,전체관람가,20190613,113,,로버트 페르난데스,(재)CBS
20192022,마담 싸이코,Greta,,15세이상관람가,20190626,98,,닐 조단,(주)쇼박스
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,12세이상관람가,20190612,115,,F. 게리 그레이,롯데컬처웍스(주)롯데엔터테인먼트
20183867,알라딘,Aladdin,,전체관람가,20190523,127,,가이 리치,월트디즈니컴퍼니코리아 유한책임회사
20184047,토이 스토리 4,Toy Story 4,,전체관람가,20190620,99,,조시 쿨리,월트디즈니컴퍼니코리아 유한책임회사
20183782,기생충,PARASITE,,15세이상관람가,20190530,131,,봉준호,(주)바른손이앤에이
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,15세이상관람가,20190619,117,,강윤성,영화사 필름몬스터
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,12세이상관람가,20190612,115,,F. 게리 그레이,롯데컬처웍스(주)롯데엔터테인먼트
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,청소년관람불가,20190626,131,,채드 스타헬스키,TCO(주)더콘텐츠온
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,전체관람가,20190613,113,,로버트 페르난데스,(재)CBS
20190885,사탄의 인형,Child's Play,,청소년관람불가,20190620,90,,라스 클리브버그,(주)이수C&E
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,12세이상관람가,20190605,113,,사이먼 킨버그,이십세기폭스코리아(주)
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,,12세이상관람가,20190613,120,,미미 레더,CGV아트하우스
20183867,알라딘,Aladdin,,전체관람가,20190523,127,,가이 리치,월트디즈니컴퍼니코리아 유한책임회사
20183782,기생충,PARASITE,,15세이상관람가,20190530,131,,봉준호,(주)바른손이앤에이
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,12세이상관람가,20190612,115,,F. 게리 그레이,롯데컬처웍스(주)롯데엔터테인먼트
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,12세이상관람가,20190605,113,,사이먼 킨버그,이십세기폭스코리아(주)
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,전체관람가,20190613,113,,로버트 페르난데스,(재)CBS
19880001,이웃집 토토로,My Neighbor Totoro,となりの トトロ,전체관람가,20010728,87,,미야자키 하야오,(주)스마일이엔티
20191401,업사이드,The Upside,,12세이상관람가,20190613,125,,닐 버거,(주)디스테이션
20198291,로켓맨,Rocketman,,15세이상관람가,20190605,121,,덱스터 플레처,롯데컬처웍스(주)롯데엔터테인먼트
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,,12세이상관람가,20190613,120,,미미 레더,CGV아트하우스
20184889,어벤져스: 엔드게임,Avengers: Endgame,,12세이상관람가,20190424,180,,안소니 루소,월트디즈니컴퍼니코리아 유한책임회사
20183782,기생충,PARASITE,,15세이상관람가,20190530,131,,봉준호,(주)바른손이앤에이
20183867,알라딘,Aladdin,,전체관람가,20190523,127,,가이 리치,월트디즈니컴퍼니코리아 유한책임회사
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,12세이상관람가,20190605,113,,사이먼 킨버그,이십세기폭스코리아(주)
